profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows
0,0.25,1,0,0,0,0,0,0,7,20
0,0.28,1,0.24,0,0,0,0,0,86,0
0,0.38,1,0,0,0,0,0,0,3,11
0,0.57,2,0,0,0,0,0,0,12,30
1,0.44,1,0,0,0,0,0,1,14,56
0,0.47,1,0,0,0,0,0,0,24,22
0,0,2,0,0,0,0,0,0,52,1
0,0.44,1,0,0,0,0,0,1,16,27
0,0.44,1,0,0,0,0,0,4,17,20
0,0.57,2,0,0,0,0,0,0,50,49
0,0.54,1,0,0,0,0,0,5,136,1029
1,0.43,1,0,0,0,0,0,10,178,1417
0,0.89,0,0,0,0,0,0,1,50,39
1,0.38,1,0,0,0,0,0,2,207,2426
0,0.36,1,0,0,0,0,1,0,178,828
0,0,1,0,1,0,0,0,0,16,26
0,0.14,1,0,0,0,0,0,0,49,2
0,0.2,1,0.33,0,0,0,0,2,49,12
0,0.1,0,0,0,0,0,0,0,37,4
0,0.5,1,0.4,0,0,0,0,0,21,0
1,0.58,1,0.44,0,0,0,0,21,356,2176
0,0.44,2,0,0,0,0,0,0,46,4
0,0.22,1,0.33,0,0,0,0,0,49,0
0,0,1,0,0,0,0,0,0,49,58
0,0,1,0,0,0,0,0,0,44,45
0,0.13,2,0,0,0,0,0,0,42,240
0,0.38,1,0.33,0,0,0,0,0,47,9
0,0.1,2,0,0,0,0,0,0,48,1
1,0.91,1,0,0,0,0,0,0,75,26
0,0.08,1,0,0,0,0,0,0,115,289
0,0.88,1,1,0,0,0,0,5,53,66
0,0.67,1,0,0,0,0,0,0,32,23
0,0.44,1,0,0,0,0,0,0,39,153
0,0.18,1,0,0,0,0,0,0,3033,1155
0,0.25,1,0,0,0,0,0,0,3003,825
0,0.88,1,1,0,0,0,0,1,34,36
0,0.36,1,0,0,0,0,0,37,218,1528
1,0.33,2,0.22,0,0,0,0,8,210,1543
1,0.2,2,0,0,19,0,0,4,1489,3715
0,0.5,1,0.5,1,0,0,0,0,10,2
0,0.33,1,0,0,0,0,0,28,201,812
0,0,2,0,0,0,0,0,0,351,2663
0,0.43,1,0,0,0,0,0,0,52,16
0,0.25,1,0.18,0,0,0,0,6,156,423
0,0.43,2,0,0,0,0,0,12,85,477
0,0.24,1,0,0,0,0,0,0,35,38
0,0.44,1,0,0,0,0,0,0,55,28
0,0.27,2,0,0,43,0,1,0,16,51
0,0.38,1,0,0,0,0,0,0,43,88
0,0.4,1,0,0,0,0,0,2,97,408
0,0.57,1,0.57,1,0,0,0,2,34,112
0,0,1,0,1,0,0,0,0,2346,7272
0,0.25,1,0,0,0,0,0,0,49,95
1,0.19,0,0,0,0,0,1,2,2,55
0,0.46,1,0.46,1,0,0,0,2,40,19
0,0.46,1,0,0,0,0,1,0,332,1333
0,0.73,1,0,0,0,0,0,0,14,542
1,0.6,1,0.5,0,0,0,0,12,65,162
1,0.46,1,0.5,0,0,0,0,1,20,52
0,0.31,1,0.31,1,0,0,0,0,26,27
1,0.43,1,0.43,0,0,0,0,0,72,434
1,0,1,0,0,0,0,0,1,55,2
1,0.5,1,0.4,0,33,0,0,12,77,108
1,0,4,0.25,0,0,0,1,59,31,215
0,0.86,2,0.18,0,0,0,0,0,57,130
0,0.62,1,0,0,0,0,1,0,58,347
1,0.33,2,0,0,0,0,0,23,47,139
1,0.16,1,0.12,0,43,0,0,3,31,37
1,0.92,1,1,0,0,0,0,11,96,242
1,0.27,1,0,0,19,0,0,8,126,860
1,0.25,1,0,0,0,0,1,102,39,229
1,0.43,1,0,0,5,0,0,6,66,161
1,0.31,3,0,0,0,0,0,25,87,698
1,0.2,1,0,0,28,0,0,0,15,64
1,0.55,1,0.44,0,0,0,0,33,166,596
1,0.38,1,0.33,0,21,0,0,44,66,75
1,0.57,2,0,0,0,0,0,4,96,339
1,0.57,1,0,0,11,0,0,0,57,73
1,0.27,1,0,0,0,0,0,2,150,487
