profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows
1,0,1,0,0,0,0,0,114,490,1093
1,0,1,0.08,0,12,0,1,16,456,413
1,0,0,0,0,123,1,0,107,971,2047
1,0.24,1,0.24,0,0,0,0,5,497,438
1,0.14,2,0,0,0,0,1,7,99,132
1,0,0,0,0,0,0,1,21,193,413
1,0,2,0,0,40,0,0,65,492,689
1,0.29,2,0,0,0,0,0,10,167,164
1,0,2,0,0,33,0,1,59,99,178
1,0,0,0,0,0,0,1,137,916,1142
1,0,2,0,0,5,0,1,10,196,209
1,0,1,0,0,0,0,1,571,765,424
1,0.18,2,0,0,23,0,1,24,45,80
1,0,1,0,0,35,1,0,328,634,719
1,0,4,0,0,150,1,0,161,1383,7500
1,0,1,0,0,26,0,1,280,650,703
1,0,2,0,0,149,0,1,92,484,3296
1,0,3,0,0,129,0,0,31,200,270
1,0,2,0,0,0,0,0,0,192,65
1,0,0,0,0,18,0,1,25,553,610
1,0,2,0,0,74,1,0,921,27477,7202
1,0,2,0,0,0,1,1,1020,464,1039
1,0,1,0,0,59,0,0,301,1057,524
1,0,3,0,0,148,0,0,9,413,138
1,0,0,0,0,0,1,0,158,389,806
1,0.29,1,0,0,15,0,0,43,505,503
1,0,12,0,0,46,0,1,24,941,1208
1,0,2,0,0,5,0,1,60,2598,802
1,0,1,0,0,98,0,0,4,59,111
1,0,2,0,0,55,0,0,220,622,475
1,0,2,0,0,19,1,0,1159,2719,1061
1,0.36,5,0,0,71,0,0,8,216,305
1,0.22,2,0,0,133,0,0,396,881,375
1,0.08,2,0,0,150,1,0,38,870,72
1,0,2,0,0,43,0,1,1,265,371
1,0.15,2,0,0,37,0,1,2,1204,633
1,0,1,0,0,35,0,1,43,655,1016
1,0,2,0,0,87,0,0,131,1662,1065
1,0.14,2,0,0,59,0,0,7,14222,7399
1,0,2,0,0,0,0,0,57,483,1216
1,0,3,0,0,0,0,0,36,1204,2928
1,0,2,0,0,9,0,1,91,408,635
1,0,2,0,0,12,0,1,8,303,417
1,0.1,0,0,0,0,0,0,11,125,101
1,0.09,1,0,0,0,0,0,252,229,383
1,0.15,3,0,0,95,1,1,15,357,489
1,0,1,0,0,0,0,0,74,137,96
1,0,2,0,0,46,0,1,83,255,535
1,0,3,0,0,123,0,1,126,87,399
1,0,6,0,0,117,1,0,663,326946,3
1,0,1,0,0,26,0,1,0,114,446
1,0,0,0,0,0,0,1,10,167,387
1,0,2,0,0,58,0,1,8,1247,1196
1,0,1,0,0,0,0,0,24,585,1364
1,0,1,0,0,30,0,1,65,135,232
1,0,3,0,0,62,1,0,64,722,261
1,0.45,1,0.25,0,137,1,0,664,714,1159
1,0,2,0,0,149,1,0,130,39867,4664
0,0,0,0,0,14,0,1,131,533,1060
1,0,2,0,0,19,0,1,917,1158,3932
1,0,10,0,0,131,1,0,2,45834,280
1,0,2,0,0,0,0,0,142,876,529
1,0.09,5,0,0,5,0,0,165,3003,455
1,0.09,2,0,0,0,0,0,80,1298,407
1,0,2,0,0,11,0,1,32,3800,278
1,0,2,0,0,0,0,1,81,1358,127
1,0,2,0,0,27,1,0,334,6741307,111
1,0.38,2,0,0,10,1,0,8,791,456
1,0,2,0,0,72,1,0,373,732075,363
1,0,2,0,0,3,0,1,56,373,360
1,0,3,0,0,51,0,1,7,162,311
1,0,1,0,0,44,0,1,12,309,364
1,0,2,0,0,0,0,0,5,135,176
1,0,2,0,0,73,1,0,77,244,172
1,0.18,1,0,0,70,0,1,93,67,149
1,0,2,0,0,35,0,0,192,984,76
1,0,2,0,0,13,0,1,8,751,1223
1,0,4,0.25,0,105,0,1,145,781,529
1,0,1,0.33,0,91,0,0,135,1761,905
1,0.14,2,0,0,0,0,1,18,318,523
1,0,2,0,0,48,0,0,222,5282,652
1,0,2,0,0,48,0,0,222,5282,652
1,0,2,0,0,126,1,1,5,228,238
1,0,2,0,0,0,1,1,119,393,502
1,0,2,0,0,53,0,0,201,875,754
1,0,0,0,0,8,0,1,12,173,373
1,0,1,0,0,67,0,0,301,3896490,351
1,0,1,0,0,20,0,0,20,106,133
1,0.08,2,0,0,26,1,0,112,206,32
1,0,0,0,0,86,0,1,54,259,1371
1,0,1,0,0,51,0,1,98,1013,996
1,0.11,4,0,0,26,1,0,16,738,544
1,0,0,0,0,18,0,1,133,1008,517
1,0,2,0,0,96,1,0,142,2441,396
1,0,2,0,0,17,0,0,63,416,292
1,0,2,0,0,0,0,1,70,516,463
1,0,2,0,0,62,1,0,403,8711,345
1,0,2,0,0,86,0,0,15,433,584
1,0,2,0,0,148,1,0,990,18515,1000
1,0,2,0,0,1,0,1,12,70,67
1,0.22,3,0,0,39,0,0,26,5863,157
1,0.36,2,0,0,35,0,0,2,1677,716
1,0,0,0,0,103,0,0,24,617,272
1,0,2,0,0,0,1,0,411,31182,414
1,0,2,0,0,61,0,1,217,1152,292
1,0.15,1,0,0,44,0,0,156,8578,164
1,0,1,0,0,0,0,0,389,4347,748
1,0,1,0,0,0,0,1,8,319,335
1,0,1,0,0,0,0,1,3,189,177
1,0,1,0,0,112,0,1,22,743,331
1,0.18,1,0,0,123,0,0,59,11204,124
1,0,3,0,0,24,0,1,144,419,271
1,0,2,0,0,34,0,0,2,81,268
1,0,1,0,0,19,0,0,78,947,582
1,0,2,0,0,0,0,0,28,206,333
1,0,2,0,0,42,0,0,111,541,701
1,0.18,3,0,0,50,0,0,6,392,237
1,0.22,5,0,0,67,0,0,4,4177,3678
1,0.17,2,0,0,134,1,0,31,265,321
1,0,2,0,0,101,0,0,86,272,1486
1,0,2,0,0,0,0,0,240,425,917
1,0,3,0,0,0,0,1,11,150,178
1,0,2,0,0,17,0,1,44,711,673
1,0,2,0,0,0,0,1,9,89,121
1,0,2,0,0,32,0,1,62,742,653
1,0,2,0,0,0,0,0,0,96,50
1,0,1,0,1,80,1,1,15,77,107
1,0,2,0,0,2,0,1,53,195,395
1,0,2,0,0,0,0,1,2,9,13
1,0,1,0,0,146,1,0,52,10794,3164
1,0.19,0,0,0,0,0,0,1,104,15
1,0,0,0,0,0,1,1,62,318,569
1,0.18,1,0,0,0,0,0,247,355,137
1,0.31,1,0,0,0,0,1,9,99,488
1,0,0,0,0,6,0,0,13,300,372
1,0.15,1,0,0,0,0,0,204,139,61
1,0,2,0,0,0,0,1,0,13,77
1,0.22,1,0.14,0,0,0,1,51,606,430
1,0,1,0,0,64,0,0,15,428,333
1,0,1,0,0,0,0,0,108,494,545
1,0.24,0,0,0,0,0,1,353,1261,2187
1,0,1,0,0,0,0,1,5,68,87
1,0,2,0,0,49,1,0,560,205558,53
1,0,2,0,0,23,0,0,85,668,609
1,0,2,0,0,120,1,0,95,1456,555
1,0.14,2,0,0,34,0,0,14,410,387
1,0,3,0,0,25,0,1,52,298,555
1,0,2,0,0,0,0,1,7,254,345
1,0,2,0,0,12,0,0,197,1070,1072
1,0.17,2,0,0,0,0,1,89,1167,618
1,0,2,0,0,9,0,1,34,335,300
1,0.08,2,0,0,1,0,0,283,346,426
1,0,2,0,0,18,0,1,65,1746,1631
1,0,2,0,0,34,0,1,126,268,370
1,0,3,0,0,23,0,1,327,537,1002
1,0,1,0,0,19,0,1,42,805,488
1,0,2,0,0,139,0,0,36,1504,52
1,0,2,0,0,13,0,1,3,104,119
1,0,2,0,0,50,0,0,53,380,462
1,0,3,0,0,46,1,1,7,257,346
1,0,1,0,0,30,0,1,103,1775,7500
1,0.3,2,0,0,26,0,1,241,1456,1200
1,0,0,0,0,0,0,1,103,265,264
1,0,1,0,0,0,0,1,93,1051,694
1,0.11,1,0,0,0,0,0,1,77,34
0,0,1,0,0,27,0,1,16,220,323
1,0.07,2,0,0,37,1,1,32,178,81
1,0,1,0,0,31,0,1,1232,728,1213
1,0,1,0,0,20,0,1,75,668,294
1,0,2,0,0,7,0,0,5,406,408
1,0,2,0,0,0,0,0,3,37,22
1,0,2,0,0,0,0,1,30,56,114
